Tree	-lnL
1	6294.34830248
2	6292.92757912
3	6294.89138846
4	6294.36399006
5	6302.70301810
6	6297.48922728
7	6298.89489558
8	6295.54580796
9	6297.42072533
10	6292.49473390
11	6288.99159905
12	6288.98564614
13	6291.40376715
14	6298.57832024
15	6304.26443470
16	6296.29976710
17	6298.19850748
18	6289.11736591
19	6289.49417170
20	6289.71124545
21	6293.26144040
22	6289.32308110
23	6308.34380259
24	6296.57969429
25	6301.99239172
26	6293.01149688
27	6309.55653234
28	6299.47793003
29	6299.72972938
30	6287.72989996
31	6304.02002025
32	6292.56320767
33	6295.33904363
34	6291.22628531
35	6294.71838133
36	6301.38775722
37	6296.41397251
38	6302.75807406
39	6304.37224295
40	6290.18854904
41	6296.20103515
42	6293.49045290
43	6301.69139581
44	6299.58266341
45	6295.05636051
46	6305.45135160
47	6293.74533866
48	6291.91870220
49	6312.24286266
50	6293.76623809
51	6292.84047885
52	6302.29942975
53	6299.65530863
54	6295.37596268
55	6297.81412789
56	6301.57070846
57	6295.36663467
58	6292.82123427
59	6299.20403748
60	6291.07472939
61	6294.71295419
62	6292.37459259
63	6291.20809746
64	6294.55890850
65	6292.20791816
66	6305.65582587
67	6299.00685616
68	6310.59700630
69	6300.72508363
70	6301.83497728
71	6300.04132279
72	6310.87923559
73	6301.29611858
74	6306.50115066
75	6305.69825350
76	6289.74020958
77	6302.25093581
78	6295.10053813
79	6288.43605044
80	6299.46958665
81	6302.40686675
82	6300.14801258
83	6300.01930187
84	6308.69596300
85	6297.96506506
86	6296.34932386
87	6305.19850055
88	6291.07892737
89	6296.02057905
90	6297.81138223
91	6309.03847951
92	6297.86477346
93	6298.63553082
94	6292.57980976
95	6304.02630708
96	6294.33853114
97	6308.45931388
98	6293.91934945
99	6298.33597046
100	6290.88555494
101	6302.03690633
102	6291.86791716
103	6287.45108970
104	6293.58251896
105	6291.99042424
106	6291.28816184
107	6293.20596513
108	6293.73709372
109	6287.44736483
110	6303.11477611
111	6288.25329292
112	6291.67150777
113	6292.79666062
114	6295.86711085
115	6292.23112707
116	6284.62071011
117	6288.95105050
118	6301.22684557
119	6291.94040840
120	6297.64442189
121	6293.73619561
122	6289.54833034
123	6294.76881342
124	6301.39317551
125	6299.38587891
126	6296.35141176
127	6298.16098811
128	6290.62408683
129	6296.21868056
130	6298.06234807
131	6304.75695162
132	6313.69030778
133	6291.79945536
134	6295.80993672
135	6300.33453101
136	6292.07570373
137	6302.37079048
138	6297.98097093
139	6292.00583098
140	6293.60185611
141	6293.84438737
142	6297.37716835
143	6299.72992270
144	6290.22384031
145	6289.82959013
146	6304.68304119
147	6298.32954456
148	6296.77577103
149	6292.74787990
150	6294.58195814
151	6298.39265315
152	6305.24720964
153	6294.57684307
154	6292.30588159
155	6290.40277295
156	6291.78326096
157	6299.06314268
158	6288.40301197
159	6304.23119099
160	6293.07817888
161	6309.56514568
162	6291.43319957
163	6303.92266527
164	6300.18011775
165	6294.35012912
166	6295.17522215
167	6302.14041522
168	6297.91714007
169	6304.56047122
170	6301.57227982
171	6290.20423027
172	6294.62275076
173	6296.18876685
174	6289.54386839
175	6290.99782938
176	6300.87661650
177	6294.74522115
178	6289.07921379
179	6292.02514606
180	6299.73309340
181	6304.38952825
182	6289.45788381
183	6310.95256214
184	6290.30507803
185	6306.06459176
186	6303.39287432
187	6297.23073942
188	6290.93501754
189	6299.55602225
190	6291.24274974
191	6296.47426771
192	6292.02908155
193	6295.32587225
194	6296.02279932
195	6294.60146488
196	6291.19536600
197	6293.08812778
198	6291.08935546
199	6294.38376973
200	6293.07476473
201	6300.13673490
202	6293.97859699
203	6289.89467074
204	6288.91973051
205	6295.70458005
206	6296.78596529
207	6305.69769090
208	6294.93201800
209	6296.83016317
210	6287.63835236
211	6306.35667068
212	6293.43618017
213	6292.07092178
214	6291.53667714
215	6295.89085834
216	6294.05452713
217	6284.90603396
218	6298.46957862
219	6298.57964674
220	6295.42743768
221	6291.20124508
222	6288.69386501
223	6290.26724485
224	6287.95949025
225	6290.33281496
226	6297.73702650
227	6293.43005690
228	6295.27005332
229	6288.52150920
230	6286.93193994
231	6291.08818650
232	6290.44329920
233	6288.03277713
234	6295.26353588
235	6290.80996812
236	6296.48345930
237	6293.58252716
238	6297.45407687
239	6301.72628111
240	6304.00343301
241	6303.33521693
242	6288.81333936
243	6302.49545615
244	6311.46229119
245	6295.61053726
246	6299.31612286
247	6292.98785005
248	6297.25372271
249	6295.49489735
250	6303.01475079
251	6297.22145632
252	6309.28945033
253	6306.23121125
254	6304.61825306
255	6302.49992533
256	6301.44797252
257	6308.62470876
258	6298.86169680
